term_en,term_pl,definition_en,definition_pl,pronunciation,example_sentence_en,example_sentence_pl,difficulty_level
replication,replikacja,Copying data for availability.,Kopiowanie danych dla dostępności.,,Replication ensures data safety.,Replikacja zapewnia bezpieczeństwo danych.,4
consistency,spójność,Ensuring data is the same across systems.,Zapewnienie, że dane są takie same w różnych systemach.,,Consistency prevents errors.,Spójność zapobiega błędom.,3
transaction,transakcja,A sequence of operations as a unit.,Sekwencja operacji jako jednostka.,,The transaction updates the database.,Transakcja aktualizuje bazę danych.,3
rollback,wycofanie,Reverting changes after failure.,Cofanie zmian po niepowodzeniu.,,The rollback restored the data.,Wycofanie przywróciło dane.,3
commit,zatwierdzenie,Finalizing a transaction.,Finalizowanie transakcji.,,The commit saved the changes.,Zatwierdzenie zapisało zmiany.,3
lock,blokada,Preventing concurrent data access.,Zapobieganie współbieżnemu dostępowi do danych.,,The lock ensures data integrity.,Blokada zapewnia integralność danych.,3
deadlock,zakleszczenie,A situation where processes wait indefinitely.,Sytuacja, w której procesy czekają bez końca.,,The deadlock halted execution.,Zakleszczenie zatrzymało wykonanie.,4
schema,schemat,A blueprint for database structure.,Schemat dla struktury bazy danych.,,The schema defines the tables.,Schemat określa tabele.,3
migration,migracja,Moving data or systems to a new environment.,Przenoszenie danych lub systemów do nowego środowiska.,,The migration updated the database.,Migracja zaktualizowała bazę danych.,3
backup,kopia zapasowa,A copy of data for recovery.,Kopia danych do odzyskiwania.,,The backup saved the system.,Kopia zapasowa uratowała system.,2
restore,przywrócenie,Recovering data from a backup.,Odzyskiwanie danych z kopii zapasowej.,,The restore fixed the issue.,Przywrócenie naprawiło problem.,2
archive,archiwum,Storing data for long-term use.,Przechowywanie danych na dłuższy okres.,,The archive keeps old records.,Archiwum przechowuje stare rekordy.,3
compression,kompresja,Reducing data size for storage.,Zmniejszanie rozmiaru danych do przechowywania.,,Compression saves disk space.,Kompresja oszczędza miejsce na dysku.,3
encryption,szyfrowanie,Securing data with a code.,Zabezpieczanie danych kodem.,,Encryption protects sensitive files.,Szyfrowanie chroni poufne pliki.,3
decryption,deszyfrowanie,Restoring encrypted data to original.,Przywracanie zaszyfrowanych danych do oryginalnej formy.,,Decryption unlocks the file.,Deszyfrowanie odblokowuje plik.,3
hash,hasz,A unique value for data verification.,Unikalna wartość do weryfikacji danych.,,The hash confirms data integrity.,Hasz potwierdza integralność danych.,3
checksum,sums kontrolna,A value to detect data errors.,Wartość do wykrywania błędów danych.,,The checksum validated the file.,Suma kontrolna zweryfikowała plik.,3
signature,podpis,A digital mark for authenticity.,Cyfrowy znak dla autentyczności.,,The signature verifies the sender.,Podpis weryfikuje nadawcę.,3
certificate,certyfikat,A digital document for security.,Cyfrowy dokument dla bezpieczeństwa.,,The certificate secures the site.,Certyfikat zabezpiecza stronę.,3
authentication,uwierzytelnianie,Verifying user or system identity.,Weryfikacja tożsamości użytkownika lub systemu.,,Authentication protects the account.,Uwierzytelnianie chroni konto.,3
authorization,autoryzacja,Granting access to resources.,Udzielanie dostępu do zasobów.,,Authorization limits user actions.,Autoryzacja ogranicza działania użytkownika.,3
token,token,A credential for secure access.,Poświadczenie dla bezpiecznego dostępu.,,The token grants entry.,Token umożliwia wejście.,3
session,sesja,A temporary interaction with a system.,Tymczasowa interakcja z systemem.,,The session tracks user activity.,Sesja śledzi aktywność użytkownika.,3
cookie,ciasteczko,A small file storing user data.,Mały plik przechowujący dane użytkownika.,,The cookie saves preferences.,Ciasteczko zapisuje preferencje.,3
cache,pamięć podręczna,Temporary storage for quick access.,Tymczasowy magazyn dla szybkiego dostępu.,,The cache speeds up the site.,Pamięć podręczna przyspiesza stronę.,3
proxy,proxy,An intermediary for requests.,Pośrednik dla żądań.,,The proxy hides the user’s IP.,Proxy ukrywa adres IP użytkownika.,3
gateway,brama,A system connecting networks.,System łączący sieci.,,The gateway routes data.,Brama kieruje danymi.,3
router,ruter,A device managing network traffic.,Urządzenie zarządzające ruchem sieciowym.,,The router connects devices.,Ruter łączy urządzenia.,3
firewall,zapora,A security system for networks.,System zabezpieczający dla sieci.,,The firewall blocks attacks.,Zapora blokuje ataki.,3
bandwidth,przepustowość,The capacity for data transfer.,Pojemność dla przesyłania danych.,,High bandwidth supports streaming.,Wysoka przepustowość wspiera strumieniowanie.,3
latency,opóźnienie,The delay in data transfer.,Opóźnienie w przesyłaniu danych.,,Low latency improves speed.,Niskie opóźnienie poprawia szybkość.,3
packet,pakiet,A small unit of data.,Mała jednostka danych.,,The packet carries the message.,Pakiet przenosi wiadomość.,3
protocol,protokół,Rules for data communication.,Reguły dla komunikacji danych.,,The protocol ensures compatibility.,Protokół zapewnia kompatybilność.,3
socket,gniazdo,A network communication endpoint.,Punkt końcowy komunikacji sieciowej.,,The socket connects the apps.,Gniazdo łączy aplikacje.,3
port,port,A channel for network communication.,Kanał dla komunikacji sieciowej.,,The port handles traffic.,Port obsługuje ruch.,3
address,adres,A unique identifier for a device.,Unikalny identyfikator dla urządzenia.,,The address locates the server.,Adres lokalizuje serwer.,2
domain,domena,A named network location.,Nazwana lokalizacja sieciowa.,,The domain points to the site.,Domena wskazuje na stronę.,2
dns,dns,A system mapping domains to IPs.,System mapujący domeny na adresy IP.,,DNS resolves the address.,DNS rozwiązuje adres.,3
url,adres url,A web address for resources.,Adres internetowy dla zasobów.,,The URL loads the page.,Adres URL ładuje stronę.,2
browser,przeglądarka,Software for web access.,Oprogramowanie do dostępu do sieci.,,The browser opens websites.,Przeglądarka otwiera strony internetowe.,2
html,html,A language for web structure.,Język dla struktury stron internetowych.,,HTML builds the page.,HTML buduje stronę.,3
css,css,A language for web styling.,Język dla stylizacji stron internetowych.,,CSS formats the layout.,CSS formatuje układ.,3
javascript,javascript,A language for web interactivity.,Język dla interaktywności stron.,,JavaScript adds functionality.,JavaScript dodaje funkcjonalność.,3
framework,framework,A structure for building apps.,Struktura do tworzenia aplikacji.,,The framework simplifies coding.,Framework upraszcza kodowanie.,3
library,biblioteka,A set of reusable functions.,Zbiór wielokrotnie używalnych funkcji.,,The library saves time.,Biblioteka oszczędza czas.,3
plugin,wtyczka,A module adding functionality.,Moduł dodający funkcjonalność.,,The plugin enhances the app.,Wtyczka ulepsza aplikację.,3
extension,rozszerzenie,A tool adding browser features.,Narzędzie dodające funkcje przeglądarki.,,The extension blocks ads.,Rozszerzenie blokuje reklamy.,3
script,skrypt,A small program for tasks.,Mały program do zadań.,,The script automates updates.,Skrypt automatyzuje aktualizacje.,2
code,kod,Instructions for a program.,Instrukcje dla programu.,,The code runs the app.,Kod uruchamia aplikację.,1
repository,repozytorium,A storage for code versions.,Magazyn dla wersji kodu.,,The repository tracks changes.,Repozytorium śledzi zmiany.,3
commit,zatwierdzenie,A saved code change.,Zapisana zmiana kodu.,,The commit fixes bugs.,Zatwierdzenie naprawia błędy.,3
branch,gałąź,A separate line of development.,Oddzielna linia rozwoju.,,The branch tests features.,Gałąź testuje funkcje.,3
merge,scalanie,Combining code from branches.,Łączenie kodu z gałęzi.,,The merge integrates changes.,Scalanie integruje zmiany.,3
pull,ściąganie,Fetching code from a repository.,Pobieranie kodu z repozytorium.,,The pull updates the code.,Ściąganie aktualizuje kod.,3
push,wysyłanie,Uploading code to a repository.,Wysyłanie kodu do repozytorium.,,The push shares updates.,Wysyłanie udostępnia aktualizacje.,3
fork,rozgałęzienie,Copying a repository for changes.,Kopiowanie repozytorium dla zmian.,,The fork allows customization.,Rozgałęzienie umożliwia dostosowanie.,3
clone,klonowanie,Copying a repository locally.,Kopiowanie repozytorium lokalnie.,,The clone enables editing.,Klonowanie umożliwia edytowanie.,3
version,wersja,A specific state of code.,Określony stan kodu.,,The version adds features.,Wersja dodaje funkcje.,2
release,wydanie,A stable code version.,Stabilna wersja kodu.,,The release is ready.,Wydanie jest gotowe.,3
patch,łata,A fix for code issues.,Naprawa problemów w kodzie.,,The patch resolves bugs.,Łata naprawia błędy.,3
update,aktualizacja,An improvement to code.,Ulepszenie kodu.,,The update enhances performance.,Aktualizacja poprawia wydajność.,2
upgrade,ulepszenie,A major code improvement.,Duże ulepszenie kodu.,,The upgrade adds tools.,Ulepszenie dodaje narzędzia.,3
deploy,wdróżenie,Releasing code to production.,Wypuszczenie kodu do produkcji.,,The deploy launches the app.,Wdrożenie uruchamia aplikację.,3
environment,środowisko,A setup for running code.,Konfiguracja do uruchamiania kodu.,,The environment supports testing.,Środowisko wspiera testowanie.,3
production,produkcja,The live system environment.,Środowisko systemu produkcyjnego.,,The app runs in production.,Aplikacja działa w produkcji.,3
staging,przygotowanie,A pre-production test environment.,Środowisko testowe przed produkcją.,,Staging mirrors production.,Przygotowanie odzwierciedla produkcję.,3
development,rozwojowe,An environment for coding.,Środowisko do kodowania.,,Development tests new features.,Rozwojowe testuje nowe funkcje.,3
test,test,A check for code correctness.,Sprawdzenie poprawności kodu.,,The test verifies functionality.,Test weryfikuje funkcjonalność.,2
unit,jednostkowy,A test for single components.,Test dla pojedynczych komponentów.,,The unit test checks code.,Test jednostkowy sprawdza kod.,3
integration,integracyjny,A test for combined components.,Test dla połączonych komponentów.,,Integration tests interactions.,Integracyjny testuje interakcje.,3
regression,regresyjny,A test for existing features.,Test dla istniejących funkcji.,,Regression prevents bugs.,Regresyjny zapobiega błędom.,3
automation,automatyzacja,Using tools to run tasks.,Używanie narzędzi do zadań.,,Automation runs tests.,Automatyzacja uruchamia testy.,3
scripting,skryptowanie,Writing code for automation.,Pisanie kodu dla automatyzacji.,,Scripting automates tasks.,Skryptowanie automatyzuje zadania.,3
debugger,debugger,A tool for fixing code.,Narzędzie do naprawy kodu.,,The debugger finds errors.,Debugger znajduje błędy.,3
ide,ide,A tool for coding efficiency.,Narzędzie dla wydajnego kodowania.,,The IDE speeds up work.,IDE przyspiesza pracę.,3
console,konsola,An interface for code output.,Interfejs dla wyjścia kodu.,,The console shows errors.,Konsola pokazuje błędy.,2
log,dziennik,A record of code events.,Zapis zdarzeń kodu.,,The log tracks issues.,Dziennik śledzi problemy.,2
exception,wyjątek,An error in code execution.,Błąd w wykonaniu kodu.,,The exception stops the app.,Wyjątek zatrzymuje aplikację.,3
try,próbuj,A block to catch errors.,Blok do wychwytywania błędów.,,The try block handles errors.,Blok próbuj obsługuje błędy.,3
catch,łap,A block to manage errors.,Blok do zarządzania błędami.,,The catch block fixes issues.,Blok łap naprawia problemy.,3
throw,rzuć,Triggering an error.,Wyzwalanie błędu.,,The throw signals a problem.,Rzuć sygnalizuje problem.,3
stacktrace,ślad stosu,A log of code execution path.,Dziennik ścieżki wykonania kodu.,,The stacktrace aids debugging.,Ślad stosu pomaga w debugowaniu.,3
thread,wątek,A unit of code execution.,Jednostka wykonania kodu.,,The thread runs tasks.,Wątek wykonuje zadania.,3
process,proces,A running program instance.,Działająca instancja programu.,,The process uses CPU.,Proces używa procesora.,3
concurrency,współbieżność,Running multiple tasks together.,Wykonywanie wielu zadań razem.,,Concurrency boosts efficiency.,Współbieżność zwiększa wydajność.,4
parallelism,równoległość,Running tasks simultaneously.,Wykonywanie zadań jednocześnie.,,Parallelism speeds up work.,Równoległość przyspiesza pracę.,4
mutex,muteks,A lock for safe concurrency.,Blokada dla bezpiecznej współbieżności.,,The mutex prevents conflicts.,Muteks zapobiega konfliktom.,4
semaphore,semafory,A signal for task control.,Sygnał do kontroli zadań.,,The semaphore manages access.,Semafory zarządzają dostępem.,4
deadlock,zakleszczenie,Tasks blocking each other.,Zadania blokujące się nawzajem.,,The deadlock stops execution.,Zakleszczenie zatrzymuje wykonanie.,4
race,kondycja,Unpredictable task timing.,Nieprzewidywalne czasowanie zadań.,,The race caused errors.,Kondycja wywołała błędy.,4
synchronize,synchronizacja,Coordinating task execution.,Koordynowanie wykonywania zadań.,,Synchronize avoids conflicts.,Synchronizacja unika konfliktów.,4
queue,kolejka,An ordered task list.,Uporządkowana lista zadań.,,The queue processes jobs.,Kolejka przetwarza zadania.,3
priority,priorytet,Importance level for tasks.,Poziom ważności dla zadań.,,The priority sets order.,Priorytet ustala kolejność.,3
scheduler,planista,A tool for task scheduling.,Narzędzie do planowania zadań.,,The scheduler assigns tasks.,Planista przydziela zadania.,3
virtual,wirtualny,A simulated computing resource.,Symulowany zasób obliczeniowy.,,The virtual machine runs apps.,Maszyna wirtualna uruchamia aplikacje.,3
container,kontener,An isolated app environment.,Izolowane środowisko aplikacji.,,The container runs the app.,Kontener uruchamia aplikację.,3
docker,docker,A platform for containers.,Platforma dla kontenerów.,,Docker simplifies app deployment.,Docker upraszcza wdrożenie aplikacji.,3
kubernetes,kubernetes,A tool for container management.,Narzędzie do zarządzania kontenerami.,,Kubernetes scales apps.,Kubernetes skaluje aplikacje.,4
cloud,chmura,Remote computing services.,Zdalne usługi obliczeniowe.,,The cloud hosts the app.,Chmura hostuje aplikację.,3
backup,kopia zapasowa,A duplicate for data recovery.,Duplikat dla odzyskiwania danych.,,The backup saves data.,Kopia zapasowa przechowuje dane.,2
restore,przywrócenie,Recovering lost data.,Odzyskiwanie utraconych danych.,,The restore fixes the system.,Przywrócenie naprawia system.,2
snapshot,migawka,A data state at a moment.,Stan danych w danym momencie.,,The snapshot saves progress.,Migawka zapisuje postęp.,3
redundancy,nadmiarowość,Extra systems for reliability.,Dodatkowe systemy dla niezawodności.,,Redundancy prevents failures.,Nadmiarowość zapobiega awariom.,3
failover,przełączanie,Switching to a backup system.,Przełączanie na system zapasowy.,,Failover ensures uptime.,Przełączanie zapewnia dostępność.,3
load,obciążenie,System resource demand.,Żądanie zasobów systemu.,,The load slows performance.,Obciążenie spowalnia wydajność.,3
scale,skalowanie,Adjusting to handle load.,Dostosowanie do obsługi obciążenia.,,The system needs to scale.,System musi się skalować.,3
horizontal,poziome,Scaling with more machines.,Skalowanie przez więcej maszyn.,,Horizontal scaling adds servers.,Poziome skalowanie dodaje serwery.,4
vertical,pionowe,Scaling with better machines.,Skalowanie przez lepsze maszyny.,,Vertical scaling upgrades hardware.,Pionowe skalowanie ulepsza sprzęt.,4
microservice,mikrousługa,A small, independent app.,Mała, niezależna aplikacja.,,The microservice handles payments.,Mikrousługa obsługuje płatności.,4
monolith,monolit,A single, large application.,Pojedyncza, duża aplikacja.,,The monolith is complex.,Monolit jest złożony.,4
endpoint,punkt,A specific API access point.,Określony punkt dostępu do API.,,The endpoint returns data.,Punkt zwraca dane.,3
request,żądanie,A call for data or action.,Wywołanie dla danych lub akcji.,,The request fetches records.,Żądanie pobiera rekordy.,2
response,odpowiedź,Data returned from a request.,Dane zwrócone z żądania.,,The response shows results.,Odpowiedź pokazuje wyniki.,2
authentication,uwierzytelnianie,Verifying user identity.,Weryfikacja tożsamości użytkownika.,,Authentication secures logins.,Uwierzytelnianie zabezpiecza logowanie.,3
authorization,autoryzacja,Controlling access to resources.,Kontrola dostępu do zasobów.,,Authorization restricts actions.,Autoryzacja ogranicza działania.,3
token,token,A key for secure access.,Klucz dla bezpiecznego dostępu.,,The token allows entry.,Token umożliwia wejście.,3
session,sesja,A user’s interaction period.,Okres interakcji użytkownika.,,The session tracks activity.,Sesja śledzi aktywność.,3
cookie,ciasteczko,A file storing user data.,Plik przechowujący dane użytkownika.,,The cookie saves settings.,Ciasteczko zapisuje ustawienia.,3
cache,pamięć podręczna,Storage for quick data access.,Magazyn dla szybkiego dostępu do danych.,,The cache speeds up pages.,Pamięć podręczna przyspiesza strony.,3
proxy,proxy,A mediator for network requests.,Pośrednik dla żądań sieciowych.,,The proxy enhances security.,Proxy zwiększa bezpieczeństwo.,3
gateway,brama,A connector for networks.,Łącznik dla sieci.,,The gateway routes traffic.,Brama kieruje ruchem.,3
router,ruter,A device for network traffic.,Urządzenie dla ruchu sieciowego.,,The router connects devices.,Ruter łączy urządzenia.,3
firewall,zapora,A network security system.,System zabezpieczający sieć.,,The firewall stops attacks.,Zapora zatrzymuje ataki.,3
bandwidth,przepustowość,Capacity for data transfer.,Pojemność dla przesyłania danych.,,Bandwidth supports streaming.,Przepustowość wspiera strumieniowanie.,3
latency,opóźnienie,Delay in data transfer.,Opóźnienie w przesyłaniu danych.,,Low latency improves speed.,Niskie opóźnienie poprawia szybkość.,3
packet,pakiet,A unit of network data.,Jednostka danych sieciowych.,,The packet carries data.,Pakiet przenosi dane.,3
protocol,protokół,Rules for network communication.,Reguły dla komunikacji sieciowej.,,The protocol ensures compatibility.,Protokół zapewnia kompatybilność.,3
socket,gniazdo,A point for network communication.,Punkt dla komunikacji sieciowej.,,The socket connects apps.,Gniazdo łączy aplikacje.,3
port,port,A channel for network traffic.,Kanał dla ruchu sieciowego.,,The port handles data.,Port obsługuje dane.,3
address,adres,An identifier for a device.,Identyfikator dla urządzenia.,,The address locates the server.,Adres lokalizuje serwer.,2
domain,domena,A named network address.,Nazwany adres sieciowy.,,The domain points to the site.,Domena wskazuje na stronę.,2
dns,dns,A system for domain resolution.,System do rozwiązywania domen.,,DNS maps domains to IPs.,DNS mapuje domeny na adresy IP.,3
url,adres url,An address for web resources.,Adres dla zasobów internetowych.,,The URL opens the site.,Adres URL otwiera stronę.,2
browser,przeglądarka,Software for web browsing.,Oprogramowanie do przeglądania sieci.,,The browser loads pages.,Przeglądarka ładuje strony.,2
html,html,A language for web pages.,Język dla stron internetowych.,,HTML structures the site.,HTML strukturyzuje stronę.,3
css,css,A language for web design.,Język dla projektowania stron.,,CSS styles the page.,CSS stylizuje stronę.,3
javascript,javascript,A language for web dynamics.,Język dla dynamiki stron.,,JavaScript adds interactivity.,JavaScript dodaje interaktywność.,3
framework,framework,A tool for app development.,Narzędzie do tworzenia aplikacji.,,The framework speeds coding.,Framework przyspiesza kodowanie.,3
library,biblioteka,A set of reusable code.,Zbiór wielokrotnie używanego kodu.,,The library simplifies tasks.,Biblioteka upraszcza zadania.,3
plugin,wtyczka,A module for extra features.,Moduł dla dodatkowych funkcji.,,The plugin adds tools.,Wtyczka dodaje narzędzia.,3
extension,rozszerzenie,A tool for browser features.,Narzędzie dla funkcji przeglądarki.,,The extension blocks ads.,Rozszerzenie blokuje reklamy.,3
script,skrypt,A program for small tasks.,Program dla małych zadań.,,The script automates work.,Skrypt automatyzuje pracę.,2
code,kod,Instructions for software.,Instrukcje dla oprogramowania.,,The code runs the app.,Kod uruchamia aplikację.,1
